"ID";"Airports";"Periods";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"TotalDeparturesPassengers_18";"TotalCountryOfOriginDestination_21";"EuropeTotal_22";"EUCountries_23";"TotalIntercontinentalPassengers_25";"America_32";"Asia_36";"WestAsia_37";"SouthEastAsia_38";"NorthEastAsia_39"
"0";"A045844";"1997JJ00";"  400118";"  200040";"  200078";"32074513";"16013919";"16060594";"32074513";"21239558";"17658777";"10751804";" 6038044";" 3379017";" 1103362";" 1252522";" 1023133"
"1";"A045844";"1998JJ00";"  425608";"  212751";"  212857";"35129029";"17484447";"17644582";"35129029";"23548703";"19613702";"11466164";" 6367845";" 3680895";" 1223619";" 1346148";" 1111128"
"2";"A045844";"1999MM01";"   33145";"   16565";"   16580";" 2439980";" 1226117";" 1213863";" 2439980";" 1559839";" 1317817";"  876945";"  455002";"  298997";"   88737";"  129031";"   81229"
"3";"A045844";"1999MM02";"   30912";"   15444";"   15468";" 2405830";" 1194375";" 1211455";" 2405830";" 1604074";" 1365968";"  798996";"  408987";"  274295";"   82654";"  110775";"   80866"
"4";"A045844";"1999MM03";"   35591";"   17802";"   17789";" 2905023";" 1457675";" 1447348";" 2905023";" 1911957";" 1630143";"  989194";"  531834";"  330139";"  105905";"  120094";"  104140"
"5";"A045844";"1999KW01";"   99648";"   49811";"   49837";" 7750833";" 3878167";" 3872666";" 7750833";" 5075870";" 4313928";" 2665135";" 1395823";"  903431";"  277296";"  359900";"  266235"
"6";"A045844";"1999MM04";"   35832";"   17910";"   17922";" 2983754";" 1468181";" 1515573";" 2983754";" 2003716";" 1707582";"  975511";"  524706";"  331128";"  114182";"  109316";"  107630"
"7";"A045844";"1999MM05";"   38376";"   19200";"   19176";" 3399339";" 1701169";" 1698170";" 3399339";" 2354180";" 1996034";" 1033553";"  588521";"  326257";"  112851";"  105889";"  107517"
"8";"A045844";"1999MM06";"   37971";"   18991";"   18980";" 3357773";" 1657203";" 1700570";" 3357773";" 2297541";" 1928122";" 1047597";"  614953";"  314288";"  106125";"  101899";"  106264"
"9";"A045844";"1999KW02";"  112179";"   56101";"   56078";" 9740866";" 4826553";" 4914313";" 9740866";" 6655437";" 5631738";" 3056661";" 1728180";"  971673";"  333158";"  317104";"  321411"
"10";"A045844";"1999MM07";"   39824";"   19904";"   19920";" 3753435";" 1756699";" 1996736";" 3753435";" 2548119";" 2084124";" 1194156";"  670512";"  365967";"  128138";"  116167";"  121662"
"11";"A045844";"1999MM08";"   39908";"   19961";"   19947";" 3850371";" 2014765";" 1835606";" 3850371";" 2584440";" 2106132";" 1253165";"  692770";"  395456";"  150219";"  123020";"  122217"
"12";"A045844";"1999MM09";"   38969";"   19478";"   19491";" 3610066";" 1812291";" 1797775";" 3610066";" 2468932";" 2081781";" 1127952";"  634140";"  350160";"  121234";"  111050";"  117876"
"13";"A045844";"1999KW03";"  118701";"   59343";"   59358";"11213872";" 5583755";" 5630117";"11213872";" 7601491";" 6272037";" 3575273";" 1997422";" 1111583";"  399591";"  350237";"  361755"
"14";"A045844";"1999MM10";"   39553";"   19779";"   19774";" 3577374";" 1806100";" 1771274";" 3577374";" 2417121";" 2026668";" 1150268";"  628633";"  374954";"  134680";"  122041";"  118233"
"15";"A045844";"1999MM11";"   37387";"   18704";"   18683";" 2889913";" 1459437";" 1430476";" 2889913";" 1902396";" 1614143";"  984978";"  515870";"  335969";"  105347";"  132419";"   98203"
"16";"A045844";"1999MM12";"   35119";"   17592";"   17527";" 2531172";" 1264854";" 1266318";" 2531172";" 1649564";" 1386383";"  879668";"  464360";"  295176";"   92084";"  119712";"   83380"
"17";"A045844";"1999KW04";"  112059";"   56075";"   55984";" 8998459";" 4530391";" 4468068";" 8998459";" 5969081";" 5027194";" 3014914";" 1608863";" 1006099";"  332111";"  374172";"  299816"
"18";"A045844";"1999JJ00";"  442587";"  221330";"  221257";"37704030";"18818866";"18885164";"37704030";"25301879";"21244897";"12311983";" 6730288";" 3992786";" 1342156";" 1401413";" 1249217"
"19";"A045844";"2000MM01";"   36446";"   18182";"   18264";" 2563382";" 1278929";" 1284453";" 2563382";" 1653050";" 1385710";"  910332";"  468432";"  314652";"   91217";"  135072";"   88363"
"20";"A045844";"2000MM02";"   36041";"   18024";"   18017";" 2641094";" 1289485";" 1351609";" 2641094";" 1753422";" 1487079";"  887672";"  444379";"  314562";"   91972";"  130297";"   92293"
"21";"A045844";"2000MM03";"   38790";"   19396";"   19394";" 3162563";" 1603733";" 1558830";" 3162563";" 2110583";" 1777349";" 1051978";"  555392";"  354650";"  114210";"  132135";"  108305"
"22";"A045844";"2000KW01";"  111277";"   55602";"   55675";" 8367039";" 4172147";" 4194892";" 8367039";" 5517055";" 4650138";" 2849982";" 1468203";"  983864";"  297399";"  397504";"  288961"
"23";"A045844";"2000MM04";"   38281";"   19143";"   19138";" 3326762";" 1628248";" 1698514";" 3326762";" 2241068";" 1870313";" 1085690";"  575714";"  371650";"  129864";"  124354";"  117432"
"24";"A045844";"2000MM05";"   41972";"   20995";"   20977";" 3706883";" 1845433";" 1861450";" 3706883";" 2602356";" 2154141";" 1104523";"  623217";"  355707";"  122601";"  113051";"  120055"
"25";"A045844";"2000MM06";"   40483";"   20248";"   20235";" 3661177";" 1829019";" 1832158";" 3661177";" 2540998";" 2065738";" 1120179";"  655471";"  339040";"  110585";"  110128";"  118327"
"26";"A045844";"2000KW02";"  120736";"   60386";"   60350";"10694822";" 5302700";" 5392122";"10694822";" 7384422";" 6090192";" 3310392";" 1854402";" 1066397";"  363050";"  347533";"  355814"
"27";"A045844";"2000MM07";"   42092";"   21045";"   21047";" 4121196";" 1929467";" 2191729";" 4121196";" 2837159";" 2269163";" 1284037";"  714381";"  403142";"  141439";"  125555";"  136148"
"28";"A045844";"2000MM08";"   42255";"   21124";"   21131";" 4096727";" 2150204";" 1946523";" 4096727";" 2807034";" 2240136";" 1289693";"  702802";"  409908";"  150100";"  127893";"  131915"
"29";"A045844";"2000MM09";"   40476";"   20245";"   20231";" 3897872";" 1943139";" 1954733";" 3897872";" 2709597";" 2218964";" 1188275";"  651033";"  380468";"  126223";"  121304";"  132941"
"30";"A045844";"2000KW03";"  124823";"   62414";"   62409";"12115795";" 6022810";" 6092985";"12115795";" 8353790";" 6728263";" 3762005";" 2068216";" 1193518";"  417762";"  374752";"  401004"
"31";"A045844";"2000MM10";"   41254";"   20624";"   20630";" 3803796";" 1938661";" 1865135";" 3803796";" 2627702";" 2150564";" 1176094";"  620993";"  394934";"  129359";"  132597";"  132978"
"32";"A045844";"2000MM11";"   37280";"   18640";"   18640";" 3004146";" 1511732";" 1492414";" 3004146";" 1990482";" 1668669";" 1013657";"  521696";"  348726";"   96316";"  142380";"  110030"
"33";"A045844";"2000MM12";"   35192";"   17601";"   17591";" 2783392";" 1360805";" 1422587";" 2783392";" 1801015";" 1499677";"  982377";"  505127";"  338342";"   92897";"  140959";"  104486"
"34";"A045844";"2000KW04";"  113726";"   56865";"   56861";" 9591334";" 4811198";" 4780136";" 9591334";" 6419199";" 5318910";" 3172128";" 1647816";" 1082002";"  318572";"  415936";"  347494"
"35";"A045844";"2000JJ00";"  470562";"  235267";"  235295";"40768990";"20308855";"20460135";"40768990";"27674466";"22787503";"13094507";" 7038637";" 4325781";" 1396783";" 1535725";" 1393273"
"36";"A045844";"2001MM01";"   37077";"   18535";"   18542";" 2780249";" 1410283";" 1369966";" 2780249";" 1782728";" 1493138";"  997521";"  495888";"  353274";"   93247";"  156379";"  103648"
"37";"A045844";"2001MM02";"   34265";"   17132";"   17133";" 2667331";" 1304053";" 1363278";" 2667331";" 1774056";" 1491643";"  893273";"  432925";"  324347";"   88845";"  139103";"   96399"
"38";"A045844";"2001MM03";"   38876";"   19427";"   19449";" 3255834";" 1651160";" 1604674";" 3255834";" 2170145";" 1798844";" 1085687";"  554418";"  380875";"  118069";"  144062";"  118744"
"39";"A045844";"2001KW01";"  110218";"   55094";"   55124";" 8703414";" 4365496";" 4337918";" 8703414";" 5726929";" 4783625";" 2976481";" 1483231";" 1058496";"  300161";"  439544";"  318791"
"40";"A045844";"2001MM04";"   37447";"   18730";"   18717";" 3457934";" 1698837";" 1759097";" 3457934";" 2346581";" 1942338";" 1111353";"  598527";"  376383";"  126168";"  135299";"  114916"
"41";"A045844";"2001MM05";"   41159";"   20572";"   20587";" 3782078";" 1880738";" 1901340";" 3782078";" 2684492";" 2164005";" 1097560";"  618800";"  355295";"  118287";"  122319";"  114689"
"42";"A045844";"2001MM06";"   40153";"   20065";"   20088";" 3841225";" 1912937";" 1928288";" 3841225";" 2672823";" 2156624";" 1168402";"  660362";"  370778";"  120702";"  125574";"  124502"
"43";"A045844";"2001KW02";"  118759";"   59367";"   59392";"11081237";" 5492512";" 5588725";"11081237";" 7703896";" 6262967";" 3377315";" 1877689";" 1102456";"  365157";"  383192";"  354107"
"44";"A045844";"2001MM07";"   42528";"   21266";"   21262";" 4278757";" 2011002";" 2267755";" 4278757";" 2977031";" 2347017";" 1301724";"  691964";"  440309";"  161274";"  145447";"  133588"
"45";"A045844";"2001MM08";"   42681";"   21336";"   21345";" 4246834";" 2235051";" 2011783";" 4246834";" 2922400";" 2321448";" 1324434";"  689852";"  455281";"  176329";"  144805";"  134147"
"46";"A045844";"2001MM09";"   40643";"   20333";"   20310";" 3719690";" 1857773";" 1861917";" 3719690";" 2658705";" 2131604";" 1060795";"  537573";"  373557";"  121659";"  126840";"  125058"
"47";"A045844";"2001KW03";"  125852";"   62935";"   62917";"12245281";" 6103826";" 6141455";"12245281";" 8558136";" 6800069";" 3686953";" 1919389";" 1269147";"  459262";"  417092";"  392793"
"48";"A045844";"2001MM10";"   40724";"   20370";"   20354";" 3376995";" 1724265";" 1652730";" 3376995";" 2440605";" 1966279";"  936390";"  465976";"  326378";"  102672";"  119984";"  103722"
"49";"A045844";"2001MM11";"   34054";"   17027";"   17027";" 2730083";" 1370081";" 1360002";" 2730083";" 1903957";" 1607316";"  826126";"  419974";"  286355";"   75966";"  121009";"   89380"
"50";"A045844";"2001MM12";"   32587";"   16297";"   16290";" 2652554";" 1292913";" 1359641";" 2652554";" 1764491";" 1475242";"  888063";"  453844";"  306971";"   88133";"  125785";"   93053"
"51";"A045844";"2001KW04";"  107365";"   53694";"   53671";" 8759632";" 4387259";" 4372373";" 8759632";" 6109053";" 5048837";" 2650579";" 1339794";"  919704";"  266771";"  366778";"  286155"
"52";"A045844";"2001JJ00";"  462194";"  231090";"  231104";"40789564";"20349093";"20440471";"40789564";"28098014";"22895498";"12691328";" 6620103";" 4349803";" 1391351";" 1606606";" 1351846"
"53";"A045844";"2002MM01";"   33955";"   16966";"   16989";" 2636649";" 1336776";" 1299873";" 2636649";" 1721082";" 1447678";"  915567";"  448415";"  326813";"   86132";"  140592";"  100089"
"54";"A045844";"2002MM02";"   31396";"   15704";"   15692";" 2667372";" 1312182";" 1355190";" 2667372";" 1823929";" 1541035";"  843403";"  402249";"  304078";"   84208";"  126986";"   92884"
"55";"A045844";"2002MM03";"   35638";"   17810";"   17828";" 3249398";" 1634148";" 1615250";" 3249398";" 2210536";" 1844104";" 1038855";"  518028";"  362137";"  107118";"  136231";"  118788"
"56";"A045844";"2002KW01";"  100989";"   50480";"   50509";" 8553419";" 4283106";" 4270313";" 8553419";" 5755547";" 4832817";" 2797825";" 1368692";"  993028";"  277458";"  403809";"  311761"
"57";"A045844";"2002MM04";"   36474";"   18237";"   18237";" 3411882";" 1650092";" 1761790";" 3411882";" 2419921";" 1975597";"  991957";"  507066";"  347607";"  107360";"  123931";"  116316"
"58";"A045844";"2002MM05";"   39387";"   19690";"   19697";" 3863240";" 1953393";" 1909847";" 3863240";" 2823330";" 2234872";" 1039910";"  563303";"  348078";"  109347";"  120597";"  118134"
"59";"A045844";"2002MM06";"   38233";"   19110";"   19123";" 3814245";" 1878689";" 1935556";" 3814245";" 2706002";" 2150273";" 1108231";"  608650";"  359917";"  116337";"  118960";"  124620"
"60";"A045844";"2002KW02";"  114094";"   57037";"   57057";"11089367";" 5482174";" 5607193";"11089367";" 7949253";" 6360742";" 3140098";" 1679019";" 1055602";"  333044";"  363488";"  359070"
"61";"A045844";"2002MM07";"   40619";"   20303";"   20316";" 4289281";" 2034750";" 2254531";" 4289281";" 3052847";" 2362679";" 1236434";"  656689";"  406728";"  147451";"  132312";"  126965"
"62";"A045844";"2002MM08";"   40340";"   20168";"   20172";" 4276395";" 2238757";" 2037638";" 4276395";" 3003393";" 2343437";" 1273002";"  665832";"  427248";"  162856";"  132314";"  132078"
"63";"A045844";"2002MM09";"   38856";"   19428";"   19428";" 4020765";" 1996530";" 2024235";" 4020765";" 2872676";" 2284710";" 1148089";"  605020";"  380326";"  124275";"  125131";"  130920"
"64";"A045844";"2002KW03";"  119815";"   59899";"   59916";"12586441";" 6270037";" 6316404";"12586441";" 8928916";" 6990826";" 3657525";" 1927541";" 1214302";"  434582";"  389757";"  389963"
"65";"A045844";"2002MM10";"   39325";"   19659";"   19666";" 3862884";" 1964088";" 1898796";" 3862884";" 2741612";" 2149145";" 1121272";"  584454";"  368414";"  114685";"  129357";"  124372"
"66";"A045844";"2002MM11";"   34675";"   17346";"   17329";" 2977998";" 1496868";" 1481130";" 2977998";" 2017447";" 1681687";"  960551";"  493734";"  323831";"   88803";"  125175";"  109853"
"67";"A045844";"2002MM12";"   32695";"   16349";"   16346";" 2912646";" 1418289";" 1494357";" 2912646";" 1905645";" 1582237";" 1006987";"  528920";"  330373";"  101238";"  126132";"  103003"
"68";"A045844";"2002KW04";"  106695";"   53354";"   53341";" 9753528";" 4879245";" 4874283";" 9753528";" 6664704";" 5413069";" 3088810";" 1607108";" 1022618";"  304726";"  380664";"  337228"
"69";"A045844";"2002JJ00";"  441593";"  220770";"  220823";"41982755";"20914562";"21068193";"41982755";"29298420";"23597454";"12684258";" 6582360";" 4285550";" 1349810";" 1537718";" 1398022"
"70";"A045844";"2003MM01";"   32975";"   16463";"   16512";" 2813139";" 1427419";" 1385720";" 2813139";" 1820298";" 1519721";"  992841";"  497324";"  344905";"   97017";"  141969";"  105919"
"71";"A045844";"2003MM02";"   31210";"   15601";"   15609";" 2741087";" 1346064";" 1395023";" 2741087";" 1866580";" 1568201";"  874507";"  430647";"  301449";"   78301";"  125163";"   97985"
"72";"A045844";"2003MM03";"   35283";"   17641";"   17642";" 3099952";" 1576809";" 1523143";" 3099952";" 2152637";" 1793207";"  947315";"  502727";"  304356";"   72245";"  123682";"  108429"
"73";"A045844";"2003KW01";"   99468";"   49705";"   49763";" 8654178";" 4350292";" 4303886";" 8654178";" 5839515";" 4881129";" 2814663";" 1430698";"  950710";"  247563";"  390814";"  312333"
"74";"A045844";"2003MM04";"   34247";"   17128";"   17119";" 3108279";" 1496581";" 1611698";" 3108279";" 2251494";" 1856104";"  856785";"  482273";"  251322";"   67458";"  107236";"   76628"
"75";"A045844";"2003MM05";"   37126";"   18547";"   18579";" 3553181";" 1782708";" 1770473";" 3553181";" 2650000";" 2117195";"  903181";"  532927";"  250710";"   91225";"   98317";"   61168"
"76";"A045844";"2003MM06";"   36582";"   18299";"   18283";" 3695057";" 1822519";" 1872538";" 3695057";" 2699580";" 2134195";"  995477";"  582663";"  287188";"  102463";"  108755";"   75970"
"77";"A045844";"2003KW02";"  107955";"   53974";"   53981";"10356517";" 5101808";" 5254709";"10356517";" 7601074";" 6107494";" 2755443";" 1597863";"  789220";"  261146";"  314308";"  213766"
"78";"A045844";"2003MM07";"   39230";"   19616";"   19614";" 4244484";" 2010027";" 2234457";" 4244484";" 3052051";" 2322806";" 1192433";"  656404";"  370119";"  135418";"  135619";"   99082"
"79";"A045844";"2003MM08";"   38672";"   19337";"   19335";" 4194993";" 2221070";" 1973923";" 4194993";" 2956211";" 2267858";" 1238782";"  651163";"  411572";"  150506";"  135336";"  125730"
"80";"A045844";"2003MM09";"   37886";"   18935";"   18951";" 3898022";" 1931401";" 1966621";" 3898022";" 2791710";" 2187147";" 1106312";"  585691";"  364218";"  115434";"  118291";"  130493"
"81";"A045844";"2003KW03";"  115788";"   57888";"   57900";"12337499";" 6162498";" 6175001";"12337499";" 8799972";" 6777811";" 3537527";" 1893258";" 1145909";"  401358";"  389246";"  355305"
"82";"A045844";"2003MM10";"   38118";"   19060";"   19058";" 3915075";" 1989708";" 1925367";" 3915075";" 2785110";" 2156105";" 1129965";"  583304";"  377910";"  119958";"  127331";"  130621"
"83";"A045844";"2003MM11";"   33627";"   16821";"   16806";" 3067998";" 1538955";" 1529043";" 3067998";" 2078860";" 1699534";"  989138";"  510367";"  330588";"   91866";"  127464";"  111258"
"84";"A045844";"2003MM12";"   31880";"   15973";"   15907";" 2932855";" 1431518";" 1501337";" 2932855";" 1920118";" 1569362";" 1012737";"  524144";"  334043";"  102219";"  131792";"  100032"
"85";"A045844";"2003KW04";"  103625";"   51854";"   51771";" 9915928";" 4960181";" 4955747";" 9915928";" 6784088";" 5425001";" 3131840";" 1617815";" 1042541";"  314043";"  386587";"  341911"
"86";"A045844";"2003JJ00";"  426836";"  213421";"  213415";"41264122";"20574779";"20689343";"41264122";"29024649";"23191435";"12239473";" 6539634";" 3928380";" 1224110";" 1480955";" 1223315"
"87";"A045844";"2004MM01";"   32016";"   15961";"   16055";" 2818427";" 1424496";" 1393931";" 2818427";" 1788792";" 1465324";" 1029635";"  511108";"  350952";"  100198";"  146496";"  104258"
"88";"A045844";"2004MM02";"   31900";"   15942";"   15958";" 2922639";" 1439234";" 1483405";" 2922639";" 1963539";" 1617410";"  959100";"  461663";"  333041";"   93775";"  133151";"  106115"
"89";"A045844";"2004MM03";"   35825";"   17906";"   17919";" 3382340";" 1718281";" 1664059";" 3382340";" 2297388";" 1881689";" 1084952";"  552050";"  363591";"  108120";"  134139";"  121332"
"90";"A045844";"2004KW01";"   99741";"   49809";"   49932";" 9123406";" 4582011";" 4541395";" 9123406";" 6049719";" 4964423";" 3073687";" 1524821";" 1047584";"  302093";"  413786";"  331705"
"91";"A045844";"2004MM04";"   35818";"   17902";"   17916";" 3657936";" 1773840";" 1884096";" 3657936";" 2558114";" 2033902";" 1099822";"  580744";"  369215";"  119625";"  123333";"  126257"
"92";"A045844";"2004MM05";"   39208";"   19600";"   19608";" 4076485";" 2049899";" 2026586";" 4076485";" 2963055";" 2248244";" 1113430";"  615433";"  360457";"  114456";"  118529";"  127472"
"93";"A045844";"2004MM06";"   38581";"   19283";"   19298";" 4008925";" 2001351";" 2007574";" 4008925";" 2874955";" 2226323";" 1133970";"  623784";"  374018";"  118316";"  121015";"  134687"
"94";"A045844";"2004KW02";"  113607";"   56785";"   56822";"11743346";" 5825090";" 5918256";"11743346";" 8396124";" 6508469";" 3347222";" 1819961";" 1103690";"  352397";"  362877";"  388416"
"95";"A045844";"2004MM07";"   40367";"   20170";"   20197";" 4565684";" 2137750";" 2427934";" 4565684";" 3267379";" 2412979";" 1298305";"  679539";"  431727";"  141364";"  143510";"  146853"
"96";"A045844";"2004MM08";"   40033";"   20023";"   20010";" 4483625";" 2350963";" 2132662";" 4483625";" 3175082";" 2381487";" 1308543";"  677812";"  438630";"  150597";"  141111";"  146922"
"97";"A045844";"2004MM09";"   38946";"   19482";"   19464";" 4153659";" 2067063";" 2086596";" 4153659";" 2957388";" 2275829";" 1196271";"  624868";"  393976";"  118201";"  124670";"  151105"
"98";"A045844";"2004KW03";"  119346";"   59675";"   59671";"13202968";" 6555776";" 6647192";"13202968";" 9399849";" 7070295";" 3803119";" 1982219";" 1264333";"  410162";"  409291";"  444880"
"99";"A045844";"2004MM10";"   40144";"   20076";"   20068";" 4155554";" 2105582";" 2049972";" 4155554";" 2954763";" 2214472";" 1200791";"  613927";"  400810";"  116294";"  132466";"  152050"
"100";"A045844";"2004MM11";"   34764";"   17382";"   17382";" 3247807";" 1626629";" 1621178";" 3247807";" 2176382";" 1754825";" 1071425";"  532964";"  370550";"   92920";"  146895";"  130735"
"101";"A045844";"2004MM12";"   33328";"   16715";"   16613";" 3102830";" 1513011";" 1589819";" 3102830";" 2003444";" 1621440";" 1099205";"  556277";"  372983";"  102707";"  152514";"  117762"
"102";"A045844";"2004KW04";"  108236";"   54173";"   54063";"10506191";" 5245222";" 5260969";"10506191";" 7134589";" 5590737";" 3371421";" 1703168";" 1144343";"  311921";"  431875";"  400547"
"103";"A045844";"2004JJ00";"  440930";"  220442";"  220488";"44575911";"22208099";"22367812";"44575911";"30980281";"24133924";"13595449";" 7030169";" 4559950";" 1376573";" 1617829";" 1565548"
"104";"A045844";"2005MM01";"   32890";"   16401";"   16489";" 3082853";" 1553002";" 1529851";" 3082853";" 1951329";" 1653347";" 1131524";"  555620";"  391734";"   93044";"  173174";"  125516"
"105";"A045844";"2005MM02";"   31171";"   15571";"   15600";" 2960333";" 1471477";" 1488856";" 2960333";" 1958458";" 1675119";" 1001875";"  486369";"  343764";"   81494";"  146612";"  115658"
"106";"A045844";"2005MM03";"   34811";"   17406";"   17405";" 3442365";" 1727088";" 1715277";" 3442365";" 2295386";" 1952352";" 1146979";"  579824";"  377113";"   97907";"  145925";"  133281"
"107";"A045844";"2005KW01";"   98872";"   49378";"   49494";" 9485551";" 4751567";" 4733984";" 9485551";" 6205173";" 5280818";" 3280378";" 1621813";" 1112611";"  272445";"  465711";"  374455"
"108";"A045844";"2005MM04";"   36879";"   18423";"   18456";" 3735323";" 1822611";" 1912712";" 3735323";" 2575623";" 2149447";" 1159700";"  595823";"  391362";"  105003";"  141301";"  145058"
"109";"A045844";"2005MM05";"   40339";"   20172";"   20167";" 4328422";" 2159477";" 2168945";" 4328422";" 3135750";" 2470483";" 1192672";"  645783";"  379714";"  105519";"  129437";"  144758"
"110";"A045844";"2005MM06";"   39112";"   19561";"   19551";" 4196547";" 2081012";" 2115535";" 4196547";" 2979792";" 2417201";" 1216755";"  663236";"  387199";"  106042";"  131961";"  149196"
"111";"A045844";"2005KW02";"  116330";"   58156";"   58174";"12260292";" 6063100";" 6197192";"12260292";" 8691165";" 7037131";" 3569127";" 1904842";" 1158275";"  316564";"  402699";"  439012"
"112";"A045844";"2005MM07";"   40765";"   20379";"   20386";" 4795477";" 2243374";" 2552103";" 4795477";" 3400920";" 2641033";" 1394557";"  731989";"  445891";"  130270";"  154843";"  160778"
"113";"A045844";"2005MM08";"   40730";"   20364";"   20366";" 4695502";" 2459777";" 2235725";" 4695502";" 3312280";" 2606011";" 1383222";"  719438";"  443736";"  132414";"  152567";"  158755"
"114";"A045844";"2005MM09";"   39298";"   19652";"   19646";" 4377505";" 2181782";" 2195723";" 4377505";" 3107260";" 2541122";" 1270244";"  659116";"  416169";"  109975";"  143016";"  163178"
"115";"A045844";"2005KW03";"  120793";"   60395";"   60398";"13868484";" 6884933";" 6983551";"13868484";" 9820460";" 7788166";" 4048023";" 2110543";" 1305796";"  372659";"  450426";"  482711"
"116";"A045844";"2005MM10";"   39653";"   19834";"   19819";" 4297973";" 2180117";" 2117856";" 4297973";" 3068456";" 2446887";" 1229517";"  627559";"  403631";"   99092";"  148304";"  156235"
"117";"A045844";"2005MM11";"   34418";"   17204";"   17214";" 3362422";" 1678268";" 1684154";" 3362422";" 2261255";" 1950206";" 1101167";"  536345";"  385763";"   96394";"  151088";"  138281"
"118";"A045844";"2005MM12";"   32387";"   16213";"   16174";" 3213586";" 1564959";" 1648627";" 3213586";" 2101645";" 1808984";" 1111941";"  546925";"  383514";"  102483";"  157100";"  123931"
"119";"A045844";"2005KW04";"  106458";"   53251";"   53207";"10873981";" 5423344";" 5450637";"10873981";" 7431356";" 6206077";" 3442625";" 1710829";" 1172908";"  297969";"  456492";"  418447"
"120";"A045844";"2005JJ00";"  442453";"  221180";"  221273";"46488308";"23122944";"23365364";"46488308";"32148154";"26312192";"14340153";" 7348027";" 4749590";" 1259637";" 1775328";" 1714625"
"121";"A045844";"2006MM01";"   33363";"   16651";"   16712";" 3167956";" 1600916";" 1567040";" 3167956";" 2026452";" 1733258";" 1141504";"  544084";"  403163";"   96622";"  177102";"  129439"
"122";"A045844";"2006MM02";"   31463";"   15718";"   15745";" 3001753";" 1478158";" 1523595";" 3001753";" 2007183";" 1741606";"  994474";"  458786";"  361768";"   81702";"  157869";"  122197"
"123";"A045844";"2006MM03";"   36570";"   18273";"   18297";" 3571343";" 1801205";" 1770138";" 3571343";" 2398490";" 2072751";" 1172853";"  570315";"  413340";"  103863";"  163668";"  145809"
"124";"A045844";"2006KW01";"  101396";"   50642";"   50754";" 9741052";" 4880279";" 4860773";" 9741052";" 6432125";" 5547615";" 3308831";" 1573185";" 1178271";"  282187";"  498639";"  397445"
"125";"A045844";"2006MM04";"   38031";"   19041";"   18990";" 3990145";" 1947062";" 2043083";" 3990145";" 2769772";" 2372942";" 1220370";"  609323";"  427322";"  116180";"  160960";"  150182"
"126";"A045844";"2006MM05";"   42459";"   21222";"   21237";" 4472259";" 2237114";" 2235145";" 4472259";" 3257982";" 2715743";" 1214242";"  636673";"  404405";"  103016";"  149916";"  151473"
"127";"A045844";"2006MM06";"   41764";"   20862";"   20902";" 4487988";" 2239408";" 2248580";" 4487988";" 3225022";" 2699389";" 1262966";"  663559";"  420297";"  111953";"  154966";"  153378"
"128";"A045844";"2006KW02";"  122254";"   61125";"   61129";"12950392";" 6423584";" 6526808";"12950392";" 9252776";" 7788074";" 3697578";" 1909555";" 1252024";"  331149";"  465842";"  455033"
"129";"A045844";"2006MM07";"   43278";"   21612";"   21666";" 5021544";" 2346390";" 2675154";" 5021544";" 3608394";" 2912607";" 1413149";"  710743";"  461931";"  129971";"  169610";"  162350"
"130";"A045844";"2006MM08";"   43024";"   21491";"   21533";" 4877589";" 2561406";" 2316183";" 4877589";" 3467992";" 2799723";" 1409595";"  695529";"  467164";"  136930";"  165453";"  164781"
"131";"A045844";"2006MM09";"   41588";"   20763";"   20825";" 4563348";" 2281805";" 2281543";" 4563348";" 3270084";" 2733424";" 1293264";"  650356";"  433163";"  102557";"  158376";"  172230"
"132";"A045844";"2006KW03";"  127890";"   63866";"   64024";"14462481";" 7189601";" 7272880";"14462481";"10346470";" 8445754";" 4116008";" 2056628";" 1362258";"  369458";"  493439";"  499361"
"133";"A045844";"2006MM10";"   42396";"   21188";"   21208";" 4452338";" 2250255";" 2202083";" 4452338";" 3172420";" 2636430";" 1279916";"  635102";"  430348";"   97587";"  163162";"  169599"
"134";"A045844";"2006MM11";"   37942";"   18958";"   18984";" 3535989";" 1777377";" 1758612";" 3535989";" 2411766";" 2094362";" 1124223";"  541302";"  391984";"   85526";"  160249";"  146209"
"135";"A045844";"2006MM12";"   35454";"   17744";"   17710";" 3454304";" 1678294";" 1776010";" 3454304";" 2277280";" 1961287";" 1177024";"  579243";"  399460";"   96980";"  168906";"  133574"
"136";"A045844";"2006KW04";"  115792";"   57890";"   57902";"11442631";" 5705926";" 5736705";"11442631";" 7861466";" 6692079";" 3581163";" 1755647";" 1221792";"  280093";"  492317";"  449382"
"137";"A045844";"2006JJ00";"  467332";"  233523";"  233809";"48596556";"24199390";"24397166";"48596556";"33892837";"28473522";"14703580";" 7295015";" 5014345";" 1262887";" 1950237";" 1801221"
"138";"A045844";"2007MM01";"   35860";"   17887";"   17973";" 3331523";" 1697485";" 1634038";" 3331523";" 2154328";" 1873722";" 1177195";"  563084";"  412674";"   92990";"  185303";"  134381"
"139";"A045844";"2007MM02";"   34110";"   17024";"   17086";" 3213977";" 1582442";" 1631535";" 3213977";" 2176662";" 1898232";" 1037315";"  483069";"  371367";"   78374";"  163181";"  129812"
"140";"A045844";"2007MM03";"   39102";"   19522";"   19580";" 3896807";" 1974602";" 1922205";" 3896807";" 2666860";" 2322176";" 1229947";"  597245";"  425611";"   97588";"  170141";"  157882"
