"ID";"Airports";"Periods";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"TotalDeparturesPassengers_18";"TotalCountryOfOriginDestination_21";"EuropeTotal_22";"EUCountries_23";"TotalIntercontinentalPassengers_25";"America_32";"Asia_36";"WestAsia_37";"SouthEastAsia_38";"NorthEastAsia_39"
"2348";"A043593";"2003MM07";"     228";"     114";"     114";"   22852";"   11545";"   11307";"   22852";"   22852";"   20488";"       0";"       0";"       0";"       0";"       0";"       0"
"2349";"A043593";"2003MM08";"     210";"     105";"     105";"   15587";"    8253";"    7334";"   15587";"   15587";"   14321";"       0";"       0";"       0";"       0";"       0";"       0"
"2350";"A043593";"2003MM09";"     206";"     103";"     103";"   17514";"    8367";"    9147";"   17514";"   17514";"   16447";"       0";"       0";"       0";"       0";"       0";"       0"
"2351";"A043593";"2003KW03";"     644";"     322";"     322";"   55953";"   28165";"   27788";"   55953";"   55953";"   51256";"       0";"       0";"       0";"       0";"       0";"       0"
"2352";"A043593";"2003MM10";"     199";"      99";"     100";"   16083";"    9080";"    7003";"   16083";"   16083";"   14007";"       0";"       0";"       0";"       0";"       0";"       0"
"2353";"A043593";"2003MM11";"     125";"      63";"      62";"    7515";"    3330";"    4185";"    7515";"    7515";"    7458";"       0";"       0";"       0";"       0";"       0";"       0"
"2354";"A043593";"2003MM12";"     111";"      57";"      54";"    8314";"    4190";"    4124";"    8314";"    8314";"    8314";"       0";"       0";"       0";"       0";"       0";"       0"
"2355";"A043593";"2003KW04";"     435";"     219";"     216";"   31912";"   16600";"   15312";"   31912";"   31912";"   29779";"       0";"       0";"       0";"       0";"       0";"       0"
"2356";"A043593";"2003JJ00";"    1726";"     866";"     860";"  137607";"   68386";"   69221";"  137607";"  137607";"  128105";"       0";"       0";"       0";"       0";"       0";"       0"
"2357";"A043593";"2004MM01";"     110";"      54";"      56";"    6907";"    3247";"    3660";"    6907";"    6907";"    6907";"       0";"       0";"       0";"       0";"       0";"       0"
"2358";"A043593";"2004MM02";"     159";"      78";"      81";"    8780";"    4436";"    4344";"    8780";"    8780";"    8780";"       0";"       0";"       0";"       0";"       0";"       0"
"2359";"A043593";"2004MM03";"     181";"      90";"      91";"   10276";"    5225";"    5051";"   10276";"   10276";"   10206";"       0";"       0";"       0";"       0";"       0";"       0"
"2360";"A043593";"2004KW01";"     450";"     222";"     228";"   25963";"   12908";"   13055";"   25963";"   25963";"   25893";"       0";"       0";"       0";"       0";"       0";"       0"
"2361";"A043593";"2004MM04";"     183";"      91";"      92";"   11424";"    4969";"    6455";"   11424";"   11424";"   10588";"       0";"       0";"       0";"       0";"       0";"       0"
